카테고리,주제,내용
부모님문제,부모님은공부못하면사람도아니라고하세요,"선생님, 저는 부모님의 사랑을 받고 싶은데, 부모님은 공부 못하면 사람도 아니라고 야단치세요. 공부해야지 하고 계획표를 세워 보지만 무능하고 무가치하다는 생각 때문에 아무 의욕도 생기지 않고 죽고만 싶어요. "
부모님문제,부모님이동생을더예뻐하세요,저는 중학교 2학년 여학생입니다. 공부는 중간 정도 합니다. 초등학교 때는 공부도 잘했는데 지금은 공부에 흥미는 커녕은 세상을 왜 사는지 고민하고 있는데 그 이유는 저희 부모님이 동생을 더 예뻐합니다. 어쩌다 말다툼을 하면 부모님은 동생의 잘못인데도 누나니까 참으라고 하십니다. 너무 속상해요. 
부모님문제,엄마가사주는옷은촌스러워요,"저는 중3 남학생입니다. 저희 부모님은 제가 옷이나 신발을 사게 돈을 달라고 하면 '엄마가 사주는 데로 입으면 될 것이지 학생이 무슨 옷 그렇게 신경을 쓰냐' 고 말도 못 꺼내게 하세요. 솔직히 엄마가 사 주는 옷은 촌스럽고, 마음에 들지 않아요. 친구들은 유명메이커 청바지를 몇 개씩 가지고 있는데 걔네 들을 보면 내가 너무 꿀린다는 생각이 들어요. "
부모님문제,부모님의잔소리에숨이막혀요,"저는 요즘 사는 게 너무 힘듭니다. 집에 들어가기가 싫습니다. 한다고 해도 성적이 오르지 않고 공부도 안되고 해서 머리라도 식힐 겸 친구들이랑 외출하려고 하면 어느새 저희 부모님의 잔소리가 뒤따릅니다. 잠시도 부모님의 감시하는 듯한 눈초리를 피할 수가 없어요. 성적만을 최고로 치고 저는 조금도 이해 못하시는 것 같아 숨이 막힙니다. 선생님, 집에서 멀리 떨어진 절 같은 곳에 들어가 살고 싶습니다. 자유로운 곳에서 새로 시작하고 싶어요. 정말 어찌해야 좋을지 모르겠어요. "
부모님문제,국가유공자녀로서느끼는우울함,"안녕하세요. 저는 고등학교 3학년 남학생입니다. 저는 국가유공자녀입니다. 어머니는 음식점 일을 하면서 열심히 사십니다. 6월이면 아버지에 대한 그리움이 심합니다. 저는 중학교 시절도 소외감과 외로움을 느끼며 보냈습니다. 지금 대학입시 준비로 더욱 고민이 많습니다. 어머님을 보면 안쓰럽고, 나라에 대한 부채 같은 것을 느낍니다. 지금도 우울한 마음을 씻을 수가 없는데 어떻게 해야 할까요? "
부모님문제,학과선택으로부모님과의갈등,"대학 시험을 앞둔 고등학교 3학년 여학생이다. 이제 와서 이런 고민을 한다는 것이 창피하기도 하지만 솔직히 나의 상태가 그러하니 어쩔 수 없는 일이다. 나의 고민은 다른 것이 아니라 입시가 다가올수록 어느 대학 어느 학과에 원서를 내야할지 점점 더 모르겠다는 것이다. 원래는 0 0 대학 영문학과를 목표로 했었다. 부모님께서 항상 영문학과가 여학생에게는 가장 좋은 학과라고 말씀하셨고 또 중학교 때까지만 해도 영어를 꽤 잘했기 때문이었다. 그러나 고등 학교에 진학한 후 언제부터인지 영어에 점점 자신이 없어졌다. 오랫동안 품어왔던 영문학을 전공하겠다는 목표가 사라지고 나니 왜 내가 지금까지 그런 엉뚱한 목표를 추구하고 살아왔는지, 왜 대학에는 꼭 가야만 한다는 생각으로 그저 맹목적인 공부를 계속해왔는지 나 자신이 한심스럽게 여겨지고 나에게 맞지도 않은 학과를 권해주신 부모님도 원망스럽다. 요즈음은 학교 생활 자체에 대해서도 회의가 들어 공부도 잘 안된다."
부모님문제,가정환경이원망스럽다,"중학교 남학생이다. 이런 가정 환경 속에 나를 놔두신 어머니 아버지가 원망스럽다. 우리 동네에는 나를 때리고 괴롭히는 불량배들이 있다. 아버지가 빚을 많이 지셔서 고모집에 살고 있는데 고모에게는 이런 말을 할 수가 없다. 어머니도 몸이 불편해서 나를 보살펴 주지 못하고, 공부도 잘 못하고, 밖에 나가서는 맞고 누구한테 화풀이도 할 수 없는 상황, 어떻게 해야 할까?"
부모님문제,지나친기대,"중학교 입학해서부터 고등학교 3학년이 된 지금까지 나의 생활을 뒤돌아보면 도시락 두개, 교과서, 참고서가 바로 내 생활의 전부였다. 부모님은 언제나 '서울대학교'를 가야한다고 나를 몰아부쳤던것 같다. 중학교 때는 그런 것에 대해 막연한 기대와 흥미도 있었는데 지금은 이런 내생활이 지긋지긋하다. 도대체 왜 이렇게 살아야만 하는지 모르겠다. 점수와 등수가 인생을 좌우하는 이런 세상이 정말 싫다."
부모님문제,재혼한어머니와의갈등,10 년전에 엄마가 20살이나 많은 사람과 재혼을 했다. 애아버지는 아들 셋이 있는데 그중 막내오빠가 얼마전에 나를 성폭행 하려해서 옆집으로 도망가서 간신히 피했다. 그후에도 비슷한 일이 여러 번 있어서 엄마에게 사실대로 말해서 부부싸움이 크게 일어났으나 별로 달리진 것은 없다. 이제는 그런 사람과 결혼한 엄마까지 밉고 집에 들어가기가 죽기보다 싫다.
부모님문제,이혼하는부모님,부모님이 이혼을 하시려고 한다. 나는 초등학교 6학년에 다니는 여자아이인데 형제도 없는 외동딸이다. 부모님이 이혼하게되면 외할머니와 함께 살게되는데 부모님은 서로 자기와 살자고 하신다. 어른들은 왜그러는지 모르겠다. 나는 누구와 살기보다는 부모님이 이혼을 하지 않았으면 좋겠다. 외할머니와 함께 사느니 차라리 집을 나가고 싶다.
